station1,station2,line,time
Silver Street,Edmonton Green,Greater Anglia,2.0
Edmonton Green,Southbury,Greater Anglia,4.0
Southbury,Turkey Street,Greater Anglia,4.0
Turkey Street,Theobalds Grove,Greater Anglia,4.0
Theobalds Grove,Cheshunt,Greater Anglia,2.0
Bethnal Green,Hackney Downs,Greater Anglia,4.0
Hackney Downs,Clapton,Greater Anglia,2.0
Clapton,Tottenham Hale,Greater Anglia,4.0
Tottenham Hale,Northumberland Park,Greater Anglia,2.0
Northumberland Park,Meridian Water,Greater Anglia,1.0
Meridian Water,Ponders End,Greater Anglia,6.0
Ponders End,Brimsdown,Greater Anglia,2.0
Brimsdown,Enfield Lock,Greater Anglia,3.0
Enfield Lock,Waltham Cross,Greater Anglia,2.0
Waltham Cross,Cheshunt,Greater Anglia,3.0
Liverpool Street,Stratford,Greater Anglia,9.0
Stratford,Ilford,Greater Anglia,8.0
Ilford,Seven Kings,Greater Anglia,3.0
Seven Kings,Romford,Greater Anglia,9.0
Romford,Gidea Park,Greater Anglia,3.0
Gidea Park,Shenfield,Greater Anglia,15.0
Stratford,Lea Bridge,Greater Anglia,5.0
Lea Bridge,Tottenham Hale,Greater Anglia,4.0
Stratford,Romford,Greater Anglia,20.0
Romford,Shenfield,Greater Anglia,18.0
Stratford,Shenfield,Greater Anglia,38.0
Liverpool Street,Tottenham Hale,Greater Anglia,12.0
Tottenham Hale,Cheshunt,Greater Anglia,19.0
Paddington,Acton Main Line,Great Western Railway,9.0
Acton Main Line,Ealing Broadway,Great Western Railway,4.0
Ealing Broadway,West Ealing,Great Western Railway,2.0
West Ealing,Drayton Green,Great Western Railway,1.0
Drayton Green,Castle Bar Park,Great Western Railway,1.0
Castle Bar Park,South Greenford,Great Western Railway,2.0
South Greenford,Greenford,Great Western Railway,2.0
Paddington,Ealing Broadway,Great Western Railway,13.0
Ealing Broadway,Hayes & Harlington,Great Western Railway,13.0
Ealing Broadway,Southall,Great Western Railway,8.0
Southall,Hayes & Harlington,Great Western Railway,4.0
Hayes & Harlington,West Drayton,Great Western Railway,5.0
West Drayton,Iver,Great Western Railway,4.0
Marylebone,Harrow-on-the-Hill,Chiltern Railways,20.0
Harrow-on-the-Hill,Rickmansworth,Chiltern Railways,17.0
Rickmansworth,Chorleywood,Chiltern Railways,5.0
Marylebone,Wembley Stadium,Chiltern Railways,14.0
Wembley Stadium,Sudbury & Harrow Road,Chiltern Railways,3.0
Sudbury & Harrow Road,Sudbury Hill Harrow,Chiltern Railways,2.0
Sudbury Hill Harrow,Northolt Park,Chiltern Railways,2.0
Northolt Park,South Ruislip,Chiltern Railways,4.0
South Ruislip,West Ruislip,Chiltern Railways,5.0
West Ruislip,Denham,Chiltern Railways,6.0
Denham,Denham Golf Club,Chiltern Railways,2.0
Paddington,Heathrow Terminals 1-2-3,Heathrow Express,29.0
Heathrow Terminals 1-2-3,Heathrow Terminal 5,Heathrow Express,4.0
Fenchurch Street,Tower Hill,Walk,5.0
